institution,domain,region,cc_indexes_found,year_range,total_url_hits,cc_present,manifest_mentions,exposure_score
IISc Bangalore,etd.iisc.ac.in,Global South,0,—,0,False,3,3
MIT DSpace,dspace.mit.edu,Global North,0,—,0,False,3,3
Virginia Tech VTechWorks,vtechworks.lib.vt.edu,Global North,0,—,0,False,3,3
Shodhganga,shodhganga.inflibnet.ac.in,Global South,0,—,0,False,2,2
NDLTD Union Catalog,union.ndltd.org,Global,0,—,0,False,2,2
Australian National Univ.,openresearch-repository.anu.edu.au,Global North,0,—,0,False,2,2
EThOS,ethos.bl.uk,Global North,0,—,0,False,2,2
UCLA eScholarship,escholarship.org,Global North,0,—,0,False,1,1
DART Europe,dart-europe.org,Global North,0,—,0,False,1,1
OATD,oatd.org,Global,0,—,0,False,1,1
Univ. of Michigan Deep Blue,deepblue.lib.umich.edu,Global North,0,—,0,False,1,1
IIT Bombay,etd.iitb.ac.in,Global South,0,—,0,False,0,0
IIT Madras,etd.iitm.ac.in,Global South,0,—,0,False,0,0
IIT Delhi,etd.iitd.ac.in,Global South,0,—,0,False,0,0
ProQuest Dissertations,proquest.com/pqdtglobal,Commercial,0,—,0,False,0,0
