institution,Dolma,RedPajama-1T,The Pile,ROOTS,C4,OpenWebMath,manifest_mentions
IISc Bangalore,1,1,0,0,0,1,3
Shodhganga,1,1,0,0,0,0,2
IIT Delhi,0,0,0,0,0,0,0
IIT Bombay,0,0,0,0,0,0,0
IIT Madras,0,0,0,0,0,0,0
MIT DSpace,1,0,0,0,1,1,3
Virginia Tech VTechWorks,1,0,0,0,1,1,3
UCLA eScholarship,0,0,0,0,1,0,1
Univ. of Michigan Deep Blue,0,0,0,0,1,0,1
Australian National Univ.,1,0,0,0,1,0,2
EThOS,1,0,0,1,0,0,2
DART Europe,0,0,0,1,0,0,1
NDLTD Union Catalog,0,0,1,0,1,0,2
OATD,0,0,0,0,0,1,1
ProQuest Dissertations,0,0,0,0,0,0,0
